ID da Ordem,Etapa,Código do Status,Modificado por,SLA,Data do Evento,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1873807,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 16:01:56,07/08/2025 16:01,07/08/2025 19:08,07/08/2025 16:01,0.13 dias,0.04 dias,Atrasado,186.1,58.05
1873787,Vendedor - Nova Encomenda,1,-,-,2025-08-07 13:58:12,07/08/2025 13:58,07/08/2025 16:02,-,0.09 dias,-,-,-,-
1873787,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 16:02:59,07/08/2025 16:02,07/08/2025 17:09,07/08/2025 16:02,0.05 dias,0.04 dias,Atrasado,66.11,57.0
1873784,Vendedor - Nova Encomenda,1,-,-,2025-08-07 13:55:38,07/08/2025 13:55,07/08/2025 16:26,-,0.11 dias,-,-,-,-
1873784,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 16:26:56,07/08/2025 16:26,07/08/2025 18:28,07/08/2025 16:26,0.08 dias,0.02 dias,Atrasado,121.84,33.05
1873765,Vendedor - Nova Encomenda,1,-,-,2025-08-07 13:39:46,07/08/2025 13:39,07/08/2025 16:21,-,0.11 dias,-,-,-,-
1873765,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 16:21:04,07/08/2025 16:21,08/08/2025 09:13,07/08/2025 16:21,0.7 dias,0.08 dias,Atrasado,1012.56,112.55
1873762,Vendedor - Nova Encomenda,1,-,-,2025-08-07 13:39:16,07/08/2025 13:39,07/08/2025 15:42,-,0.09 dias,-,-,-,-
1873762,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 15:42:12,07/08/2025 15:42,07/08/2025 17:43,07/08/2025 15:42,0.08 dias,0.05 dias,Atrasado,121.51,77.78
1873734,Vendedor - Nova Encomenda,1,-,-,2025-08-07 13:28:29,07/08/2025 13:28,07/08/2025 14:35,-,0.05 dias,-,-,-,-
1873734,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 14:35:27,07/08/2025 14:35,07/08/2025 17:30,07/08/2025 14:35,0.12 dias,0.1 dias,Atrasado,175.34,144.53
1873705,Vendedor - Nova Encomenda,1,-,-,2025-08-07 13:16:15,07/08/2025 13:16,07/08/2025 14:29,-,0.05 dias,-,-,-,-
1873701,Vendedor - Nova Encomenda,1,-,-,2025-08-07 13:15:36,07/08/2025 13:15,07/08/2025 16:04,-,0.12 dias,-,-,-,-
1873701,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 16:04:14,07/08/2025 16:04,08/08/2025 10:47,07/08/2025 16:04,0.78 dias,0.15 dias,Atrasado,1123.06,223.05
